"","SubID","trial_num","pUP","stock_outcome","Advisor","Advice","AdvisorCorrect","choice","outcome","rt","tally"
"1491",30,51,0.733724872116183,1,2,1,1,1,1,2014,0
"1492",30,52,0.797067666675375,1,3,1,1,1,1,2009,1
"1493",30,53,0.741745650189048,1,2,1,1,1,1,1987,2
"1494",30,54,0.822300437704826,-1,3,-1,1,0,1,2084,3
"1495",30,55,0.827252132112734,1,1,-1,0,0,-1,1791,2
"1496",30,56,0.808622082960611,1,3,-1,0,0,-1,2403,1
"1497",30,57,0.794466890936678,-1,2,-1,1,1,-1,1768,0
"1498",30,58,0.884239581470683,-1,1,-1,1,1,-1,1859,-1
"1499",30,59,0.85541110504564,1,2,1,1,0,-1,2173,-2
"1500",30,60,0.816987305223525,-1,1,1,0,1,-1,1876,-3
"1501",31,1,0.425965709472075,NA,1,NA,NA,NA,NA,NA,13
"1502",31,2,0.368279785650792,1,2,1,1,1,1,2484,14
"1503",31,3,0.256155732022815,1,3,-1,0,1,1,1556,15
"1504",31,4,0.18638388796546,1,2,-1,0,0,-1,2266,14
"1505",31,5,0.114523904741235,-1,1,-1,1,0,1,2232,15
"1506",31,6,0.153843381489695,-1,3,1,0,0,1,3504,16
"1507",31,7,0.375174016019059,-1,1,-1,1,0,1,1895,17
"1508",31,8,0.29171304412337,1,3,-1,0,1,1,3214,18
"1509",31,9,0.435868451132364,-1,2,1,0,1,-1,1857,17
"1510",31,10,0.317973113592577,-1,3,1,0,0,1,3668,18
"1511",31,11,0.425825100905164,1,1,1,1,1,1,2026,19
"1512",31,12,0.459086719758114,-1,2,-1,1,1,-1,3107,18
"1513",31,13,0.46416553413871,-1,1,-1,1,0,1,1816,19
"1514",31,14,0.363910091426698,-1,2,1,0,0,1,2627,20
"1515",31,15,0.335434631416295,-1,3,1,0,0,1,1841,21
"1516",31,16,0.373856148803162,-1,2,1,0,0,1,2361,22
"1517",31,17,0.415596022107032,-1,1,-1,1,0,1,1823,23
"1518",31,18,0.489722193316764,-1,3,1,0,0,1,1865,24
"1519",31,19,0.393149961415142,1,1,1,1,1,1,2068,25
"1520",31,20,0.241893565286612,1,3,-1,0,0,-1,2163,24
"1521",31,21,0.29077498115776,-1,3,1,0,1,-1,2060,23
"1522",31,22,0.235923708233088,-1,1,1,0,1,-1,1820,22
"1523",31,23,0.16626108160144,1,2,-1,0,0,-1,2635,21
"1524",31,24,0.153893367037903,-1,1,1,0,1,-1,1981,20
"1525",31,25,0.223616656473409,-1,3,1,0,0,1,2508,21
"1526",31,26,0.193616893983129,-1,2,1,0,0,1,1812,22
"1527",31,27,0.363457508191266,1,3,-1,0,0,-1,2015,21
"1528",31,28,0.288522185737538,-1,2,-1,1,1,-1,2554,20
"1529",31,29,0.320338311213762,-1,1,-1,1,0,1,1810,21
"1530",31,30,0.413199156687698,1,2,-1,0,0,-1,1843,20
