"","SubID","trial_num","pUP","stock_outcome","choice","outcome","rt","tally"
"1052",35,8,0.203612073063172,-1,0,1,543,4
"1053",35,9,0.190049828672046,1,0,-1,352,3
"1054",35,10,0.109886866219386,-1,0,1,355,4
"1055",35,11,0.337477511227362,-1,1,-1,2620,3
"1056",35,12,0.373030597348311,1,0,-1,352,2
"1057",35,13,0.473284015951388,-1,0,1,352,3
"1058",35,14,0.46249886875154,1,0,-1,654,2
"1059",35,15,0.463991458764227,-1,1,-1,415,1
"1060",35,16,0.423711531354985,-1,0,1,335,2
"1061",35,17,0.524912518098394,-1,0,1,1024,3
"1062",35,18,0.458442104148565,1,0,-1,928,2
"1063",35,19,0.557009623743115,1,0,-1,367,1
"1064",35,20,0.55615925287287,1,1,1,367,2
"1065",35,21,0.567456334892974,1,1,1,447,3
"1066",35,22,0.35763292014889,-1,1,-1,448,2
"1067",35,23,0.44066798187974,-1,1,-1,384,1
"1068",35,24,0.496569253217165,1,0,-1,462,0
"1069",35,25,0.503745346838085,-1,0,1,817,1
"1070",35,26,0.579250365071844,1,0,-1,384,0
"1071",35,27,0.656307370102424,1,0,-1,1002,-1
"1072",35,28,0.65814773837619,1,1,1,431,0
"1073",35,29,0.740275530702975,1,1,1,464,1
"1074",35,30,0.698952778307837,-1,1,-1,448,0
"1075",35,31,0.815457288255149,1,1,1,800,1
"1076",35,32,0.818975019402658,-1,1,-1,671,0
"1077",35,33,0.81930122654038,1,0,-1,352,-1
"1078",35,34,0.754597017145734,1,1,1,529,0
"1079",35,35,0.627850972662953,1,1,1,574,1
"1080",35,36,0.560902930612423,-1,1,-1,479,0
"1081",36,1,0.52113765457416,1,1,1,3009,1
"1082",36,2,0.516817484712066,1,1,1,878,2
"1083",36,3,0.496401589112004,-1,1,-1,935,1
"1084",36,4,0.572134444901045,-1,1,-1,1198,0
"1085",36,5,0.712272088608448,1,0,-1,1124,-1
"1086",36,6,0.753259394399048,-1,1,-1,1803,-2
"1087",36,7,0.815724359011972,1,1,1,2512,-1
"1088",36,8,0.80114054057896,1,1,1,861,0
"1089",36,9,0.858939492083011,1,1,1,597,1
"1090",36,10,0.850438616067678,1,1,1,1271,2
"1091",36,11,0.853507150522662,1,1,1,966,3
"1092",36,12,0.766388081242755,-1,1,-1,842,2
"1093",36,13,0.764088244679836,1,0,-1,1130,1
"1094",36,14,0.675653219080001,1,1,1,1057,2
"1095",36,15,0.535389338107432,-1,1,-1,922,1
"1096",36,16,0.560264213478901,-1,1,-1,840,0
"1097",36,17,0.559351620132432,-1,1,-1,1138,-1
"1098",36,18,0.63413870383706,1,1,1,925,0
"1099",36,19,0.562570162417011,1,1,1,982,1
"1100",36,20,0.578213603867224,1,1,1,530,2
"1101",36,21,0.572796398585671,-1,1,-1,556,1
"1102",36,22,0.507263795874758,1,1,1,462,2
"1103",36,23,0.529061072457932,-1,1,-1,447,1
"1104",36,24,0.584973092452765,1,1,1,474,2
"1105",36,25,0.496993531077279,1,1,1,447,3
"1106",36,26,0.440440847485131,-1,1,-1,458,2
"1107",36,27,0.488385434767857,-1,1,-1,742,1
"1108",36,28,0.433794517982617,-1,1,-1,534,0
"1109",36,29,0.245865418135518,1,1,1,652,1
"1110",36,30,0.346113360030858,-1,1,-1,520,0
"1111",36,31,0.267772336113494,-1,1,-1,800,-1
"1112",36,32,0.24487180513201,-1,1,-1,585,-2
"1113",36,33,0.200541294871936,-1,1,-1,626,-3
"1114",36,34,0.173699732145144,-1,1,-1,770,-4
"1115",36,35,0.211850114309985,-1,0,1,690,-3
"1116",36,36,0.114850629313982,-1,0,1,714,-2
"1117",37,1,0.470123615115881,1,1,1,1535,1
"1118",37,2,0.461975059276169,1,1,1,344,2
"1119",37,3,0.439050628597313,1,1,1,345,3
"1120",37,4,0.45143653455562,-1,1,-1,409,2
"1121",37,5,0.470242582221694,1,0,-1,245,1
"1122",37,6,0.382149223568108,-1,1,-1,288,0
"1123",37,7,0.309204479423246,-1,1,-1,1065,-1
"1124",37,8,0.398928236338922,1,0,-1,284,-2
"1125",37,9,0.494876320415931,1,1,1,379,-1
"1126",37,10,0.546325886234974,1,1,1,328,0
"1127",37,11,0.641157781384443,-1,1,-1,575,-1
"1128",37,12,0.716433443302228,1,0,-1,223,-2
"1129",37,13,0.682684947914787,-1,1,-1,280,-3
"1130",37,14,0.696934057665256,1,1,1,504,-2
"1131",37,15,0.700325218877323,1,1,1,255,-1
"1132",37,16,0.834076376443336,1,1,1,352,0
"1133",37,17,0.851147485599253,1,1,1,2654,1
"1134",37,18,0.883997039679489,1,1,1,312,2
"1135",37,19,0.891242777989223,1,1,1,303,3
"1136",37,20,0.832911691058863,1,1,1,217,4
"1137",37,21,0.548332201136405,1,1,1,1151,5
"1138",37,22,0.550551369751074,-1,1,-1,327,4
"1139",37,23,0.564756151076888,-1,1,-1,303,3
"1140",37,24,0.562441593386786,1,0,-1,358,2
"1141",37,25,0.532776838536783,-1,1,-1,286,1
"1142",37,26,0.475222805740255,-1,0,1,376,2
"1143",37,27,0.436356526798192,1,0,-1,288,1
"1144",37,28,0.39672182858315,1,0,-1,633,0
"1145",37,29,0.472859939052297,-1,1,-1,320,-1
"1146",37,30,0.516002696739541,-1,1,-1,87,-2
"1147",37,31,0.462889187780224,-1,0,1,2241,-1
"1148",37,32,0.473740901637998,-1,0,1,341,0
"1149",37,33,0.406753455230597,1,0,-1,320,-1
"1150",37,34,0.43344052519968,-1,1,-1,248,-2
"1151",37,35,0.397440056567609,-1,1,-1,310,-3
"1152",37,36,0.317509437710001,-1,0,1,209,-2
"1153",38,1,0.482913551945239,1,1,1,1592,1
"1154",38,2,0.490682038718998,-1,1,-1,1824,0
"1155",38,3,0.474579807291183,1,0,-1,960,-1
"1156",38,4,0.585042405226791,-1,1,-1,1992,-2
"1157",38,5,0.643883056842312,1,1,1,343,-1
"1158",38,6,0.646381497496023,1,1,1,1265,0
"1159",38,7,0.692717468666168,1,1,1,2400,1
"1160",38,8,0.604692542332118,1,1,1,1712,2
"1161",38,9,0.630944936723035,-1,0,1,720,3
"1162",38,10,0.687957506324309,1,0,-1,1960,2
"1163",38,11,0.705197998222039,1,0,-1,448,1
"1164",38,12,0.75133086329006,-1,1,-1,687,0
"1165",38,13,0.770117295616276,1,1,1,849,1
"1166",38,14,0.754049316359963,1,1,1,824,2
"1167",38,15,0.74278710093544,1,0,-1,624,1
"1168",38,16,0.742540799151828,1,1,1,895,2
"1169",38,17,0.697973431287218,1,1,1,809,3
"1170",38,18,0.715079666320498,-1,0,1,1216,4
"1171",38,19,0.558454370126559,1,0,-1,320,3
"1172",38,20,0.514649243928828,-1,1,-1,863,2
"1173",38,21,0.494023730940206,1,0,-1,353,1
"1174",38,22,0.374725810982195,1,1,1,320,2
"1175",38,23,0.328353053256748,1,1,1,1191,3
"1176",38,24,0.317802414032888,-1,1,-1,392,2
"1177",38,25,0.42992394319939,-1,1,-1,553,1
"1178",38,26,0.386928898784912,1,0,-1,480,0
"1179",38,27,0.340813178159477,-1,0,1,400,1
"1180",38,28,0.292281120859658,-1,0,1,303,2
"1181",38,29,0.149641509189533,1,0,-1,297,1
"1182",38,30,0.148786976458407,1,1,1,456,2
"1183",38,31,0.17266892626096,-1,1,-1,336,1
"1184",38,32,0.32015066222994,-1,1,-1,375,0
"1185",38,33,0.218563082761485,-1,0,1,616,1
"1186",38,34,0.19271954474464,-1,0,1,345,2
"1187",38,35,0.206395353421746,-1,0,1,240,3
"1188",38,36,0.271662623292501,-1,1,-1,304,2
"1189",39,1,0.487256579240784,-1,1,-1,1955,-1
"1190",39,2,0.461360686704233,1,0,-1,950,-2
"1191",39,3,0.410885517240374,1,1,1,167,-1
"1192",39,4,0.485377041654166,-1,1,-1,232,-2
"1193",39,5,0.5495553609954,-1,1,-1,143,-3
"1194",39,6,0.553039620472978,-1,0,1,159,-2
"1195",39,7,0.517878024057691,-1,0,1,271,-1
"1196",39,8,0.454443010606768,-1,0,1,143,0
"1197",39,9,0.520022383788516,1,0,-1,278,-1
"1198",39,10,0.288403586681803,1,1,1,39,0
"1199",39,11,0.354181782870376,-1,1,-1,127,-1
"1200",39,12,0.280946053791588,-1,0,1,31,0
"1201",39,13,0.349070650726419,-1,0,1,7,1
"1202",39,14,0.255705128730275,-1,0,1,143,2
"1203",39,15,0.186845456573823,-1,0,1,79,3
"1204",39,16,0.180141582964016,-1,0,1,95,4
"1205",39,17,0.146314203026349,1,0,-1,327,3
"1206",39,18,0.112063384133235,-1,1,-1,191,2
"1207",39,19,0.201679425904015,-1,0,1,159,3
"1208",39,20,0.208175451643918,-1,0,1,79,4
"1209",39,21,0.268770845989152,1,0,-1,38,3
"1210",39,22,0.394678105098762,-1,1,-1,95,2
"1211",39,23,0.527811589682958,1,0,-1,30,1
"1212",39,24,0.585135800496209,1,0,-1,335,0
"1213",39,25,0.725273365390065,-1,1,-1,175,-1
"1214",39,26,0.8162911028194,1,0,-1,95,-2
"1215",39,27,0.803648994196746,-1,1,-1,71,-3
"1216",39,28,0.697905373236958,-1,1,-1,143,-4
"1217",39,29,0.657908123732634,1,0,-1,47,-5
"1218",39,30,0.727995884537161,1,0,-1,134,-6
"1219",39,31,0.639396417817798,1,0,-1,71,-7
"1220",39,32,0.600310424470285,1,1,1,31,-6
"1221",39,33,0.496749361431603,-1,1,-1,47,-7
"1222",39,34,0.493717607568757,1,1,1,31,-6
"1223",39,35,0.513555821429415,1,1,1,119,-5
"1224",39,36,0.448623305190219,-1,1,-1,159,-6
"1225",40,1,0.451491514271382,-1,1,-1,4507,-1
"1226",40,2,0.451560995226888,1,0,-1,494,-2
"1227",40,3,0.512104852508001,-1,1,-1,392,-3
"1228",40,4,0.482457721109862,-1,1,-1,750,-4
"1229",40,5,0.333601432936664,-1,0,1,426,-3
"1230",40,6,0.317049600890036,-1,0,1,509,-2
"1231",40,7,0.275968726428264,-1,0,1,551,-1
"1232",40,8,0.356429774493497,-1,0,1,493,0
"1233",40,9,0.287748119395298,-1,0,1,570,1
"1234",40,10,0.297725037594056,1,0,-1,433,0
"1235",40,11,0.349276966676411,-1,1,-1,445,-1
"1236",40,12,0.420378063055653,-1,1,-1,623,-2
"1237",40,13,0.35460633424846,-1,0,1,789,-1
"1238",40,14,0.480900767172086,1,0,-1,483,-2
"1239",40,15,0.512476646978419,1,0,-1,531,-3
"1240",40,16,0.517880216403896,-1,1,-1,735,-4
"1241",40,17,0.437157670691123,-1,1,-1,597,-5
"1242",40,18,0.388447616337667,-1,1,-1,373,-6
"1243",40,19,0.335405625379789,-1,1,-1,1481,-7
"1244",40,20,0.468460060253275,1,0,-1,415,-8
"1245",40,21,0.546652524966483,1,0,-1,519,-9
"1246",40,22,0.465216029174061,-1,0,1,832,-8
"1247",40,23,0.485338571275198,-1,0,1,566,-7
"1248",40,24,0.530824245491933,1,0,-1,390,-8
"1249",40,25,0.404363613648974,-1,1,-1,675,-9
"1250",40,26,0.366886663356573,1,0,-1,379,-10
"1251",40,27,0.53488289848622,-1,1,-1,409,-11
"1252",40,28,0.545710902107284,-1,1,-1,473,-12
"1253",40,29,0.610520156141184,-1,1,-1,1162,-13
"1254",40,30,0.636114465414347,1,0,-1,2476,-14
"1255",40,31,0.718480187850689,1,1,1,370,-13
"1256",40,32,0.749671899407975,1,1,1,475,-12
"1257",40,33,0.782872014662761,1,1,1,985,-11
"1258",40,34,0.792989115983252,1,1,1,655,-10
"1259",40,35,0.824385360559631,1,1,1,731,-9
"1260",40,36,0.851928816657178,1,1,1,403,-8
"1261",41,1,0.497403315408155,1,1,1,1461,1
"1262",41,2,0.531126513663866,1,1,1,713,2
"1263",41,3,0.577686810084172,-1,1,-1,562,1
"1264",41,4,0.656591509193818,1,0,-1,331,0
"1265",41,5,0.588071744973367,1,1,1,471,1
"1266",41,6,0.5544883239531,1,1,1,332,2
"1267",41,7,0.55371006270082,1,1,1,399,3
"1268",41,8,0.669381366171749,1,1,1,394,4
"1269",41,9,0.591740238071261,-1,1,-1,459,3
"1270",41,10,0.558642743741228,1,0,-1,334,2
"1271",41,11,0.648919294914853,-1,1,-1,362,1
"1272",41,12,0.791914506309443,-1,0,1,283,2
"1273",41,13,0.786733787747601,-1,0,1,69,3
