,SubID,trial_num,pUP,stock_outcome,Advisor,AdvisorCorrect,choice,outcome,rt,tally
198,4,18,0.66965401,-1,2,1,1,1,881,28
199,4,19,0.617715822,1,3,0,0,1,1252,29
200,4,20,0.655202164,1,2,0,1,-1,1090,28
201,4,21,0.505086552,-1,2,1,1,1,1685,29
202,4,22,0.460853489,1,3,0,0,1,1015,30
203,4,23,0.373279508,-1,1,0,1,-1,850,29
204,4,24,0.341168421,-1,3,1,0,-1,1712,28
205,4,25,0.357985693,-1,2,1,1,1,2060,29
206,4,26,0.320265318,1,1,0,1,-1,873,28
207,4,27,0.204492007,-1,2,1,1,1,800,29
208,4,28,0.154789709,-1,1,1,1,1,1510,30
209,4,29,0.17415669,-1,3,0,0,1,654,31
210,4,30,0.198692107,-1,1,0,1,-1,892,30
211,4,31,0.167771647,-1,2,0,1,-1,642,29
212,4,32,0.193632051,-1,3,0,0,1,636,30
213,4,33,0.136864221,-1,2,0,1,-1,2024,29
214,4,34,0.126509085,-1,3,0,0,1,716,30
215,4,35,0.215128338,-1,1,1,1,1,1268,31
216,4,36,0.155463204,-1,3,0,0,1,1588,32
217,4,37,0.191312333,1,2,1,1,1,1303,33
218,4,38,0.29296826,1,1,1,1,1,2199,34
219,4,39,0.293771321,-1,2,1,1,1,1549,35
220,4,40,0.310326994,1,1,1,1,1,892,36
221,4,41,0.390033448,-1,1,1,1,1,692,37
222,4,42,0.399082122,1,2,0,1,-1,1087,36
223,4,43,0.451337679,1,3,1,0,-1,630,35
224,4,44,0.534847415,1,2,1,0,-1,1037,34
225,4,45,0.510483058,1,1,1,1,1,675,35
226,4,46,0.501945913,-1,3,0,0,1,743,36
227,4,47,0.557382229,-1,1,1,1,1,1937,37
228,4,48,0.624505064,-1,3,1,0,-1,1221,36
229,4,49,0.607065101,-1,2,0,1,-1,725,35
230,4,50,0.558408551,-1,3,0,1,-1,992,34
231,4,51,0.520912452,1,1,1,1,1,910,35
232,4,52,0.565393978,-1,2,0,1,-1,746,34
233,4,53,0.576771622,1,1,0,1,-1,755,33
234,4,54,0.567357508,1,2,0,1,-1,1723,32
235,4,55,0.60895176,1,3,1,0,-1,805,31
236,4,56,0.61176827,-1,2,0,0,1,800,32
237,4,57,0.664655944,-1,1,0,0,1,756,33
238,4,58,0.714316962,1,3,0,1,-1,698,32
239,4,59,0.772686303,-1,1,1,1,1,631,33
240,4,60,0.64170598,1,3,0,0,1,1631,34
241,5,1,0.509454909,NaN,1,NaN,NaN,NaN,NaN,18
242,5,2,0.547867719,-1,2,1,1,1,1093,19
243,5,3,0.493123313,-1,3,1,0,-1,1218,18
244,5,4,0.508836705,-1,2,1,1,1,1044,19
245,5,5,0.564543435,1,1,1,1,1,940,20
246,5,6,0.620487594,-1,3,1,0,-1,953,19
247,5,7,0.69154624,-1,1,1,1,1,817,20
248,5,8,0.755032906,1,3,0,0,1,950,21
249,5,9,0.819106113,1,2,1,1,1,1006,22
250,5,10,0.813200729,-1,3,0,0,1,964,23
251,5,11,0.815379791,1,1,1,1,1,753,24
252,5,12,0.82795334,1,2,0,1,-1,1178,23
253,5,13,0.787079755,1,1,0,1,-1,906,22
254,5,14,0.753628248,1,2,0,0,1,1553,23
255,5,15,0.71556496,1,3,0,0,1,962,24
256,5,16,0.619979262,1,2,0,0,1,1040,25
257,5,17,0.419555513,-1,1,1,1,1,831,26
258,5,18,0.338665394,-1,3,0,0,1,1495,27
